id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-219242,medium,The Ubuntu operating system must generate audit records for successful/unsuccessful uses of the ssh-agent command.,"Without generating audit records that are specific to the security and mission needs of the organization, it would be difficult to establish, correlate, and investigate the events relating to an incident or identify those responsible for one.

Audit records can be generated from various components within the information system (e.g., module or policy filter).",None,SV-219242r610963_rule,F-20966r305055_fix,"Configure the audit system to generate an audit event for any successful/unsuccessful use of the ""ssh-agent"" command. 

Add or update the following rules in the ""/etc/audit/rules.d/stig.rules"" file:

-a always,exit -F path=/usr/bin/ssh-agent -F perm=x -F auid>=1000 -F auid!=4294967295 -k privileged-ssh

In order to reload the rules file, issue the following command:

# sudo augenrules --load 

Note:
The ""root"" account must be used to view/edit any files in the /etc/audit/rules.d/ directory.",C-20967r305054_chk,"Verify the Ubuntu operating system generates an audit record when successful/unsuccessful attempts to use the ""ssh-agent"" command occur.

Check the configured audit rules with the following commands:

# sudo auditctl -l | grep '/usr/bin/ssh-agent'

-a always,exit -F path=/usr/bin/ssh-agent -F perm=x -F auid>=1000 -F auid!=-1 -k privileged-ssh

If the command does not return lines that match the example or the lines are commented out, this is a finding.

Note: The '-k' allows for specifying an arbitrary identifier and the string after it does not need to match the example output above."
V-219159,medium,The Ubuntu operating system must deploy Endpoint Security for Linux Threat Prevention (ENSLTP).,"Without the use of automated mechanisms to scan for security flaws on a continuous and/or periodic basis, the operating system or other system components may remain vulnerable to the exploits presented by undetected software flaws.

To support this requirement, the Ubuntu operating system may have an integrated solution incorporating continuous scanning using HBSS and periodic scanning using other tools, as specified in the requirement.",None,SV-219159r858515_rule,F-20883r858514_fix,"Configure the Ubuntu operating system to use ENSLTP.

Install the mcafeetp package via the ePO server.",C-20884r858513_chk,"Check that the ""mcafeetp"" package has been installed:

# dpkg -l | grep -i mcafeetp

If the ""mcafeetp"" package is not installed, this is a finding.

Check that the daemon is running:

# /opt/McAfee/ens/tp/init/mfetpd-control.sh status

If the daemon is not running, this is a finding."
V-219158,high,The Ubuntu operating system must not have the rsh-server package installed.,"It is detrimental for Ubuntu operating systems to provide, or install by default, functionality exceeding requirements or mission objectives. These unnecessary capabilities or services are often overlooked and therefore may remain unsecured. They increase the risk to the platform by providing additional attack vectors.

Ubuntu operating systems are capable of providing a wide variety of functions and services. Some of the functions and services, provided by default, may not be necessary to support essential organizational operations (e.g., key missions, functions).

The rsh-server service provides an unencrypted remote access service that does not provide for the confidentiality and integrity of user passwords or the remote session and has very weak authentication.

If a privileged user were to log on using this service, the privileged user password could be compromised.",None,SV-219158r610963_rule,F-20882r304803_fix,"Configure the Ubuntu operating system to disable non-essential capabilities by removing the rsh-server package from the system with the following command:

# sudo apt-get remove rsh-server",C-20883r304802_chk,"Check to see if the rsh-server package is installed with the following command:

# dpkg -l | grep rsh-server

If the rsh-server package is installed, this is a finding."
V-219155,medium,"Advance package Tool (APT) must be configured to prevent the installation of patches, service packs, device drivers, or Ubuntu operating system components without verification they have been digitally signed using a certificate that is recognized and approved by the organization.","Changes to any software components can have significant effects on the overall security of the Ubuntu operating system. This requirement ensures the software has not been tampered with and that it has been provided by a trusted vendor.

Accordingly, patches, service packs, device drivers, or Ubuntu operating system components must be signed with a certificate recognized and approved by the organization.

Verifying the authenticity of the software prior to installation validates the integrity of the patch or upgrade received from a vendor. This ensures the software has not been tampered with and that it has been provided by a trusted vendor. Self-signed certificates are disallowed by this requirement. The Ubuntu operating system should not have to verify the software again. This requirement does not mandate DoD certificates for this purpose; however, the certificate used to verify the software must be from an approved CA.",None,SV-219155r877463_rule,F-20879r304794_fix,"Configure Advance package Tool (APT) to prevent the installation of patches, service packs, device drivers, or Ubuntu operating system components without verification they have been digitally signed using a certificate that is recognized and approved by the organization.

Remove/Update any APT configuration file that contain the variable ""AllowUnauthenticated"" to ""false"", or remove ""AllowUnauthenticated"" entirely from each file. Below is an example of setting the ""AllowUnauthenticated"" variable to ""false"":

APT::Get::AllowUnauthenticated ""false"";",C-20880r304793_chk,"Verify that Advance package Tool (APT) is configured to prevent the installation of patches, service packs, device drivers, or Ubuntu operating system components without verification they have been digitally signed using a certificate that is recognized and approved by the organization.

Check that the ""AllowUnauthenticated"" variable is not set at all or set to ""false"" with the following command:

# grep AllowUnauthenticated /etc/apt/apt.conf.d/*
/etc/apt/apt.conf.d/01-vendor-Ubuntu:APT::Get::AllowUnauthenticated ""false"";

If any of the files returned from the command with ""AllowUnauthenticated"" set to ""true"", this is a finding."
V-219154,low,The Ubuntu operating system must have a crontab script running weekly to off-load audit events of standalone systems.,"Information stored in one location is vulnerable to accidental or incidental deletion or alteration.

Off-loading is a common process in information systems with limited audit storage capacity.",None,SV-219154r853362_rule,F-20878r304791_fix,"Create a script which off-loads audit logs to external media and runs weekly.

Script must be located into the /etc/cron.weekly directory.",C-20879r304790_chk,"Verify there is a script which off-loads audit data and if that script runs weekly.

Check if there is a script in the /etc/cron.weekly directory which off-loads audit data:

# sudo ls /etc/cron.weekly

audit-offload

Check if the script inside the file does offloading of audit logs to an external media.

If the script file does not exist or if the script file doesn't offload audit logs, this is a finding."
V-219157,high,The Ubuntu operating system must not have the Network Information Service (NIS) package installed.,Removing the Network Information Service (NIS) package decreases the risk of the accidental (or intentional) activation of NIS or NIS+ services.,None,SV-219157r610963_rule,F-20881r304800_fix,"Configure the Ubuntu operating system to disable non-essential capabilities by removing the Network Information Service (NIS) package from the system with the following command:

# sudo apt-get remove nis",C-20882r304799_chk,"Verify that the Network Information Service (NIS) package is not installed on the Ubuntu operating system.

Check to see if the NIS package is installed with the following command:

# dpkg -l | grep nis

If the NIS package is installed, this is a finding."
V-219307,medium,The Ubuntu operating system must implement DoD-approved encryption to protect the confidentiality of remote access sessions.,"Without confidentiality protection mechanisms, unauthorized individuals may gain access to sensitive information via a remote access session.

Remote access is access to DoD nonpublic information systems by an authorized user (or an information system) communicating through an external, non-organization-controlled network. Remote access methods include, for example, dial-up, broadband, and wireless.

Encryption provides a means to secure the remote connection to prevent unauthorized access to the data traversing the remote access connection (e.g., RDP), thereby providing a degree of confidentiality. The encryption strength of a mechanism is selected based on the security categorization of the information.

By specifying a cipher list with the order of ciphers being in a “strongest to weakest” orientation, the system will automatically attempt to use the strongest cipher for securing SSH connections.",None,SV-219307r877398_rule,F-21031r621654_fix,"Configure the Ubuntu operating system to allow the SSH daemon to only implement DoD-approved encryption.

Add the following line (or modify the line to have the required value) to the ""/etc/ssh/sshd_config"" file (this file may be named differently or be in a different location if using a version of SSH that is provided by a third-party vendor):

Ciphers aes256-ctr,aes192-ctr,aes128-ctr

In order for the changes to take effect, the SSH daemon must be restarted.

# sudo systemctl restart sshd.service",C-21032r621653_chk,"Verify the SSH daemon is configured to only implement DoD-approved encryption.

Check the SSH daemon's current configured ciphers by running the following command:

# grep -E '^Ciphers ' /etc/ssh/sshd_config

Ciphers aes256-ctr,aes192-ctr, aes128-ctr

If any ciphers other than ""aes256-ctr"", ""aes192-ctr"", or ""aes128-ctr"" are listed, the order differs from the example above, the ""Ciphers"" keyword is missing, or the returned line is commented out, this is a finding.
"
V-219151,high,"The Ubuntu operating system must implement NIST FIPS-validated cryptography to protect classified information and for the following: to provision digital signatures, to generate cryptographic hashes, and to protect unclassified information requiring confidentiality and cryptographic protection in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.","Use of weak or untested encryption algorithms undermines the purposes of utilizing encryption to protect data. The operating system must implement cryptographic modules adhering to the higher standards approved by the federal government since this provides assurance they have been tested and validated.

Satisfies: SRG-OS-000478-GPOS-00223, SRG-OS-000396-GPOS-00176",None,SV-219151r880862_rule,F-20875r880861_fix,"Configure the system to run in FIPS mode. Add ""fips=1"" to the kernel parameter during the Ubuntu operating systems install.

Enabling a FIPS mode on a pre-existing system involves a number of modifications to the Ubuntu operating system. Refer to the Ubuntu Server 18.04 FIPS 140-2 security policy document for instructions. A subscription to the ""Ubuntu Pro"" plan is required to obtain the FIPS Kernel cryptographic modules and enable FIPS.",C-20876r304781_chk,"Verify the system is configured to run in FIPS mode.

Check that the system is configured to run in FIPS mode with the following command:

# grep -i 1 /proc/sys/crypto/fips_enabled
1

If a value of ""1"" is not returned, this is a finding."
V-219301,low,The Ubuntu operating system must limit the number of concurrent sessions to ten for all accounts and/or account types.,"Ubuntu operating system management includes the ability to control the number of users and user sessions that utilize an operating system. Limiting the number of allowed users and sessions per user is helpful in reducing the risks related to DoS attacks.

This requirement addresses concurrent sessions for information system accounts and does not address concurrent sessions by single users via multiple system accounts. The maximum number of concurrent sessions should be defined based on mission needs and the operational environment for each system.",None,SV-219301r877399_rule,F-21025r305232_fix,"Configure the Ubuntu operating system to limit the number of concurrent sessions to ten for all accounts and/or account types.

Add the following line to the top of the /etc/security/limits.conf:

* hard maxlogins 10",C-21026r802365_chk,"Verify that the Ubuntu operating system limits the number of concurrent sessions to ten for all accounts and/or account types by running the following command:
$ grep maxlogins /etc/security/limits.conf

The result must contain the following line:
* hard maxlogins 10

If the ""maxlogins"" item is missing, or the value is not set to 10 or less, or is commented out, this is a finding."
V-219153,low,"The Ubuntu operating system audit event multiplexor must be configured to off-load audit logs onto a different system in real time, if the system is interconnected.","Information stored in one location is vulnerable to accidental or incidental deletion or alteration.

Off-loading is a common process in information systems with limited audit storage capacity.",None,SV-219153r853361_rule,F-20877r304788_fix,"Configure the audit event multiplexor to off-load audit records to a different system or storage media from the system being audited.

Install the audisp-remote plugin:

# sudo apt-get install audispd-plugins -y

Set the audisp-remote plugin as active, by editing the /etc/audisp/plugins.d/au-remote.conf file:

# sudo sed -i -E 's/active\s*=\s*no/active = yes/' /etc/audisp/plugins.d/au-remote.conf

Set the address of the remote machine, by editing the /etc/audisp/audisp-remote.conf file:

# sudo sed -i -E 's/(remote_server\s*=).*/\1 <remote addr>/' audisp-remote.conf

where <remote addr> must be substituted by the address of the remote server receiving the audit log.

Make the audit service reload its configuration files:

# sudo systemctl restart auditd.service",C-20878r304787_chk,"Verify the audit event multiplexor is configured to off-load audit records to a different system or storage media from the system being audited.

Check that audisp-remote plugin is installed:

# sudo dpkg -s audispd-plugins

If status is ""not installed"", this is a finding.

Check that the records are being off-loaded to a remote server with the following command:

# sudo grep -i active /etc/audisp/plugins.d/au-remote.conf

active = yes

If ""active"" is not set to ""yes"", or the line is commented out, this is a finding.

Check that audisp-remote plugin is configured to send audit logs to a different system:

# sudo grep -i ^remote_server /etc/audisp/audisp-remote.conf 

remote_server = 192.168.122.126

If the remote_server parameter is not set or is set with a local address, or is set with invalid address, this is a finding."
V-219152,low,The Ubuntu operating system must immediately notify the SA and ISSO (at a minimum) when allocated audit record storage volume reaches 75% of the repository maximum audit record storage capacity.,"If security personnel are not notified immediately when storage volume reaches 75% utilization, they are unable to plan for audit record storage capacity expansion.",None,SV-219152r877389_rule,F-20876r304785_fix,"Edit /etc/audit/auditd.conf and set the space_left_action parameter to ""exec"" or ""email"". 

If the space_left_action parameter is set to ""email"" set the action_mail_acct parameter to an e-mail address for the System Administrator (SA) and Information System Security Officer (ISSO).

If the space_left_action parameter is set to ""exec"", make sure the command being execute notifies the System Administrator (SA) and Information System Security Officer (ISSO).

Edit /etc/audit/auditd.conf and set the space_left parameter to be, at least, 25% of the repository maximum audit record storage capacity.",C-20877r304784_chk,"Verify the Ubuntu operating system notifies the System Administrator (SA) and Information System Security Officer (ISSO) (at a minimum) when allocated audit record storage volume reaches 75% of the repository maximum audit record storage capacity.

Check that the Ubuntu operating system notifies the SA and ISSO (at a minimum) when allocated audit record storage volume reaches 75% of the repository maximum audit record storage capacity with the following command:

# sudo grep ^space_left_action /etc/audit/auditd.conf

space_left_action email

# sudo grep ^space_left /etc/audit/auditd.conf

space_left 250000

If the ""space_left"" parameter is missing, set to blanks or set to a value less than 25% of the space free in the allocated audit record storage, this is a finding.

If the ""space_left_action"" parameter is missing or set to blanks, this is a finding.

If the ""space_left_action"" is set to ""syslog"", the system logs the event, but does not generate a notification, so this is a finding.

If the ""space_left_action"" is set to ""exec"", the system executes a designated script. If this script informs the SA of the event, this is not a finding.

If the ""space_left_action"" is set to ""email"" check the value of the ""action_mail_acct"" parameter with the following command:

# sudo grep action_mail_acct /etc/audit/auditd.conf

action_mail_acct root@localhost

The ""action_mail_acct"" parameter, if missing, defaults to ""root"". If the ""action_mail_acct parameter"" is not set to the e-mail address of the system administrator(s) and/or ISSO, this is a finding. 

Note: If the email address of the system administrator is on a remote system a mail package must be available."
